movieid,title,genres
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
3578,Gladiator (2000),Action|Adventure|Drama
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
4226,Memento (2000),Mystery|Thriller
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
3793,X-Men (2000),Action|Adventure|Sci-Fi
4963,Ocean's Eleven (2001),Crime|Thriller
4995,"Beautiful Mind, A (2001)",Drama|Romance
33794,Batman Begins (2005),Action|Crime|IMAX
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
5989,Catch Me If You Can (2002),Crime|Drama
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
59315,Iron Man (2008),Action|Adventure|Sci-Fi
48516,"Departed, The (2006)",Crime|Drama|Thriller
68954,Up (2009),Adventure|Animation|Children|Drama
4011,Snatch (2000),Comedy|Crime|Thriller
4022,Cast Away (2000),Drama
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
68157,Inglourious Basterds (2009),Action|Drama|War
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
109487,Interstellar (2014),Sci-Fi|IMAX
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
3949,Requiem for a Dream (2000),Drama
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
99114,Django Unchained (2012),Action|Drama|Western
54286,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller
49272,Casino Royale (2006),Action|Adventure|Thriller
6711,Lost in Translation (2003),Comedy|Drama|Romance
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
3948,Meet the Parents (2000),Comedy
6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
3897,Almost Famous (2000),Drama
48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
8874,Shaun of the Dead (2004),Comedy|Horror
50872,Ratatouille (2007),Animation|Children|Drama
63082,Slumdog Millionaire (2008),Crime|Drama|Romance
46578,Little Miss Sunshine (2006),Adventure|Comedy|Drama
74458,Shutter Island (2010),Drama|Mystery|Thriller
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX
51662,300 (2007),Action|Fantasy|War|IMAX
3751,Chicken Run (2000),Animation|Children|Comedy
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
55820,No Country for Old Men (2007),Crime|Drama
3623,Mission: Impossible II (2000),Action|Adventure|Thriller
56367,Juno (2007),Comedy|Drama|Romance
5218,Ice Age (2002),Adventure|Animation|Children|Comedy
3408,Erin Brockovich (2000),Drama
6934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
70286,District 9 (2009),Mystery|Sci-Fi|Thriller
3977,Charlie's Angels (2000),Action|Comedy
89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
7147,Big Fish (2003),Drama|Fantasy|Romance
8644,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller
5995,"Pianist, The (2002)",Drama|War
4034,Traffic (2000),Crime|Drama|Thriller
3481,High Fidelity (2000),Comedy|Drama|Romance
3994,Unbreakable (2000),Drama|Sci-Fi
134130,The Martian (2015),Adventure|Drama|Sci-Fi
69122,"Hangover, The (2009)",Comedy|Crime
6502,28 Days Later (2002),Action|Horror|Sci-Fi
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
68358,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX
45722,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy
4979,"Royal Tenenbaums, The (2001)",Comedy|Drama
7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War
106782,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
7254,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller
116797,The Imitation Game (2014),Drama|Thriller|War
3753,"Patriot, The (2000)",Action|Drama|War
6373,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance
4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance
48774,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance
81845,"King's Speech, The (2010)",Drama
73017,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller
78499,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi
51255,Hot Fuzz (2007),Action|Comedy|Crime|Mystery
54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
30707,Million Dollar Baby (2004),Drama
4308,Moulin Rouge (2001),Drama|Musical|Romance
56174,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX
69844,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX
6863,School of Rock (2003),Comedy|Musical
81834,Harry Potter and the Deathly Hallows: Part 1 (2010),Action|Adventure|Fantasy|IMAX
80463,"Social Network, The (2010)",Drama
4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
76093,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX
5502,Signs (2002),Horror|Sci-Fi|Thriller
91500,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy
71535,Zombieland (2009),Action|Comedy|Horror
5669,Bowling for Columbine (2002),Documentary
6942,Love Actually (2003),Comedy|Drama|Romance
134853,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
81591,Black Swan (2010),Drama|Thriller
122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
88125,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX
5010,Black Hawk Down (2001),Action|Drama|War
64614,Gran Torino (2008),Crime|Drama
6378,"Italian Job, The (2003)",Action|Crime
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller
109374,"Grand Budapest Hotel, The (2014)",Comedy|Drama
54503,Superbad (2007),Comedy
33679,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
112556,Gone Girl (2014),Drama|Thriller
5299,My Big Fat Greek Wedding (2002),Comedy|Romance
92259,Intouchables (2011),Comedy|Drama
5679,"Ring, The (2002)",Horror|Mystery|Thriller
4014,Chocolat (2000),Drama|Romance
122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
3535,American Psycho (2000),Crime|Horror|Mystery|Thriller
115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy
30793,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX
4447,Legally Blonde (2001),Comedy|Romance
4848,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
111759,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX
4025,Miss Congeniality (2000),Comedy|Crime
104841,Gravity (2013),Action|Sci-Fi|IMAX
49530,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War
27773,Old Boy (2003),Mystery|Thriller
60684,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
34405,Serenity (2005),Action|Adventure|Sci-Fi
47610,"Illusionist, The (2006)",Drama|Fantasy|Mystery|Romance
77561,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX
4018,What Women Want (2000),Comedy|Romance
6870,Mystic River (2003),Crime|Drama|Mystery
6537,Terminator 3: Rise of the Machines (2003),Action|Adventure|Sci-Fi
69757,(500) Days of Summer (2009),Comedy|Drama|Romance
3785,Scary Movie (2000),Comedy|Horror
30749,Hotel Rwanda (2004),Drama|War
3717,Gone in 60 Seconds (2000),Action|Crime
8784,Garden State (2004),Comedy|Drama|Romance
33166,Crash (2004),Crime|Drama
59369,Taken (2008),Action|Crime|Drama|Thriller
53125,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy
59784,Kung Fu Panda (2008),Action|Animation|Children|Comedy|IMAX
76251,Kick-Ass (2010),Action|Comedy
112552,Whiplash (2014),Drama
4776,Training Day (2001),Crime|Drama|Thriller
4310,Pearl Harbor (2001),Action|Drama|Romance|War
68237,Moon (2009),Drama|Mystery|Sci-Fi|Thriller
87232,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War
5481,Austin Powers in Goldmember (2002),Comedy
34162,Wedding Crashers (2005),Comedy|Romance
4816,Zoolander (2001),Comedy
5902,Adaptation (2002),Comedy|Drama|Romance
4975,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
8464,Super Size Me (2004),Comedy|Documentary|Drama
98809,"Hobbit: An Unexpected Journey, The (2012)",Adventure|Fantasy|IMAX
7293,50 First Dates (2004),Comedy|Romance
5377,About a Boy (2002),Comedy|Drama|Romance
8361,"Day After Tomorrow, The (2004)",Action|Adventure|Drama|Sci-Fi|Thriller
4270,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller
3755,"Perfect Storm, The (2000)",Drama|Thriller
8798,Collateral (2004),Action|Crime|Drama|Thriller
57669,In Bruges (2008),Comedy|Crime|Drama|Thriller
45499,X-Men: The Last Stand (2006),Action|Sci-Fi|Thriller
3911,Best in Show (2000),Comedy
64957,"Curious Case of Benjamin Button, The (2008)",Drama|Fantasy|Mystery|Romance
4718,American Pie 2 (2001),Comedy
5956,Gangs of New York (2002),Crime|Drama
7458,Troy (2004),Action|Adventure|Drama|War
34048,War of the Worlds (2005),Action|Adventure|Sci-Fi|Thriller
31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),Adventure|Animation|Fantasy|Romance
5903,Equilibrium (2002),Action|Sci-Fi|Thriller
106920,Her (2013),Drama|Romance|Sci-Fi
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
44195,Thank You for Smoking (2006),Comedy|Drama
115617,Big Hero 6 (2014),Action|Animation|Comedy
96079,Skyfall (2012),Action|Adventure|Thriller|IMAX
55247,Into the Wild (2007),Action|Adventure|Drama
84152,Limitless (2011),Sci-Fi|Thriller
8376,Napoleon Dynamite (2004),Comedy
5991,Chicago (2002),Comedy|Crime|Drama|Musical
3752,"Me, Myself & Irene (2000)",Adventure|Comedy
4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi
164179,Arrival (2016),Sci-Fi
56782,There Will Be Blood (2007),Drama|Western
96610,Looper (2012),Action|Crime|Sci-Fi
8984,Ocean's Twelve (2004),Action|Comedy|Crime|Thriller
53996,Transformers (2007),Action|Sci-Fi|Thriller|IMAX
8529,"Terminal, The (2004)",Comedy|Drama|Romance
79091,Despicable Me (2010),Animation|Children|Comedy|Crime
4369,"Fast and the Furious, The (2001)",Action|Crime|Thriller
119145,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime
33004,"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi
45447,"Da Vinci Code, The (2006)",Drama|Mystery|Thriller
36529,Lord of War (2005),Action|Crime|Drama|Thriller|War
47099,"Pursuit of Happyness, The (2006)",Drama
5464,Road to Perdition (2002),Crime|Drama
86332,Thor (2011),Action|Adventure|Drama|Fantasy|IMAX
85414,Source Code (2011),Action|Drama|Mystery|Sci-Fi|Thriller
106487,The Hunger Games: Catching Fire (2013),Action|Adventure|Sci-Fi|IMAX
3916,Remember the Titans (2000),Drama
8641,Anchorman: The Legend of Ron Burgundy (2004),Comedy
79702,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance
7373,Hellboy (2004),Action|Adventure|Fantasy|Horror
3300,Pitch Black (2000),Horror|Sci-Fi|Thriller
8957,Saw (2004),Horror|Mystery|Thriller
8622,Fahrenheit 9/11 (2004),Documentary
4367,Lara Croft: Tomb Raider (2001),Action|Adventure
7451,Mean Girls (2004),Comedy
44555,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller
46976,Stranger than Fiction (2006),Comedy|Drama|Fantasy|Romance
54272,"Simpsons Movie, The (2007)",Animation|Comedy
4638,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller
97921,Silver Linings Playbook (2012),Comedy|Drama
30812,"Aviator, The (2004)",Drama
3624,Shanghai Noon (2000),Action|Adventure|Comedy|Western
4148,Hannibal (2001),Horror|Thriller
111362,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi
8972,National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller
40819,Walk the Line (2005),Drama|Musical|Romance
4239,Blow (2001),Crime|Drama
4223,Enemy at the Gates (2001),Drama|War
88129,Drive (2011),Crime|Drama|Film-Noir|Thriller
44665,Lucky Number Slevin (2006),Crime|Drama|Mystery
8950,The Machinist (2004),Drama|Mystery|Thriller
3967,Billy Elliot (2000),Drama
8949,Sideways (2004),Comedy|Drama|Romance
5266,Panic Room (2002),Thriller
6218,Bend It Like Beckham (2002),Comedy|Drama|Romance
91542,Sherlock Holmes: A Game of Shadows (2011),Action|Adventure|Comedy|Crime|Mystery|Thriller
88140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War
110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
8533,"Notebook, The (2004)",Drama|Romance
44199,Inside Man (2006),Crime|Drama|Thriller
45720,"Devil Wears Prada, The (2006)",Comedy|Drama
41569,King Kong (2005),Action|Adventure|Drama|Fantasy|Thriller
3863,"Cell, The (2000)",Drama|Horror|Thriller
91658,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller
97304,Argo (2012),Drama|Thriller
4874,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
52973,Knocked Up (2007),Comedy|Drama|Romance
31685,Hitch (2005),Comedy|Romance
102125,Iron Man 3 (2013),Action|Sci-Fi|Thriller|IMAX
3617,Road Trip (2000),Comedy
106489,"Hobbit: The Desolation of Smaug, The (2013)",Adventure|Fantasy|IMAX
7090,Hero (Ying xiong) (2002),Action|Adventure|Drama
4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
31696,Constantine (2005),Action|Fantasy|Horror|Thriller
69481,"Hurt Locker, The (2008)",Action|Drama|Thriller|War
8528,Dodgeball: A True Underdog Story (2004),Comedy
45517,Cars (2006),Animation|Children|Comedy
8970,Finding Neverland (2004),Drama
59615,Indiana Jones and the Kingdom of the Crystal Skull (2008),Action|Adventure|Comedy|Sci-Fi
52722,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX
97938,Life of Pi (2012),Adventure|Drama|IMAX
3510,Frequency (2000),Drama|Thriller
94959,Moonrise Kingdom (2012),Comedy|Drama|Romance
51540,Zodiac (2007),Crime|Drama|Thriller
39183,Brokeback Mountain (2005),Drama|Romance
6936,Elf (2003),Children|Comedy|Fantasy
30810,"Life Aquatic with Steve Zissou, The (2004)",Adventure|Comedy|Fantasy
6947,Master and Commander: The Far Side of the World (2003),Adventure|Drama|War
88744,Rise of the Planet of the Apes (2011),Action|Drama|Sci-Fi|Thriller
61323,Burn After Reading (2008),Comedy|Crime|Drama
4299,"Knight's Tale, A (2001)",Action|Comedy|Romance
4701,Rush Hour 2 (2001),Action|Comedy
